,Unnamed: 0,created_at,temp,hum,p25,p10
248980,249261,2019-12-27 20:34:23,24.3,82.4,180.60001,249.5
248983,249264,2019-12-27 20:34:36,24.3,82.4,181.7,250.5
249016,249297,2019-12-27 20:36:53,24.1,83.0,186.3,256.39999
249017,249298,2019-12-27 20:36:57,24.1,83.1,186.39999,254.7
249019,249300,2019-12-27 20:37:05,24.1,83.1,185.7,252.39999
249020,249301,2019-12-27 20:37:10,24.1,83.1,185.3,252.7
249022,249303,2019-12-27 20:37:18,24.0,83.1,185.8,252.10001
249024,249305,2019-12-27 20:37:26,23.8,83.0,185.7,253.0
249025,249306,2019-12-27 20:37:30,23.9,83.3,185.39999,251.8
249026,249307,2019-12-27 20:37:35,24.0,83.3,184.2,249.10001
249027,249308,2019-12-27 20:37:39,23.9,83.3,183.5,250.39999
249028,249309,2019-12-27 20:37:43,24.0,83.4,182.60001,250.0
249029,249310,2019-12-27 20:37:47,24.0,83.5,182.5,251.3
249053,249334,2019-12-27 20:39:27,24.0,83.5,187.10001,260.0
249054,249335,2019-12-27 20:39:31,24.0,83.6,187.3,255.10001
249056,249337,2019-12-27 20:39:40,23.9,83.5,187.39999,256.10001
249057,249338,2019-12-27 20:39:44,23.9,83.5,186.2,256.29999
249066,249347,2019-12-27 20:40:21,24.0,83.5,186.5,258.39999
249067,249348,2019-12-27 20:40:25,23.9,83.3,185.8,258.60001
249069,249350,2019-12-27 20:40:34,23.9,83.4,186.89999,257.70001
249091,249372,2019-12-27 20:42:05,23.9,83.9,184.60001,252.60001
249092,249373,2019-12-27 20:42:09,23.8,83.8,184.7,252.3
249093,249374,2019-12-27 20:42:14,24.0,84.0,184.2,251.2
249094,249375,2019-12-27 20:42:18,23.8,83.8,184.89999,250.8
249095,249376,2019-12-27 20:42:22,23.9,83.9,184.0,250.2
249102,249383,2019-12-27 20:42:51,23.8,83.8,183.39999,262.60001
249107,249388,2019-12-27 20:43:12,23.8,83.8,184.3,261.10001
249114,249395,2019-12-27 20:43:41,23.9,83.8,183.2,252.7
249116,249397,2019-12-27 20:43:49,23.9,83.8,184.8,254.0
249127,249408,2019-12-27 20:44:35,23.8,83.7,187.2,266.29999
249128,249409,2019-12-27 20:44:39,23.8,83.7,186.5,263.39999
249142,249423,2019-12-27 20:45:37,23.8,83.8,184.10001,262.29999
249143,249424,2019-12-27 20:45:42,23.8,83.8,186.3,263.39999
249159,249440,2019-12-27 20:46:48,23.8,83.8,188.2,266.39999
249160,249441,2019-12-27 20:46:53,23.9,83.8,187.89999,264.0
249161,249442,2019-12-27 20:46:57,23.9,83.8,189.5,265.20001
249162,249443,2019-12-27 20:47:01,23.9,83.8,189.10001,265.70001
249163,249444,2019-12-27 20:47:05,23.9,83.8,189.5,269.20001
249164,249445,2019-12-27 20:47:09,23.9,83.7,190.2,266.10001
249165,249446,2019-12-27 20:47:13,23.9,83.6,189.5,265.89999
249166,249447,2019-12-27 20:47:18,23.8,83.6,189.0,266.89999
249167,249448,2019-12-27 20:47:22,23.8,83.6,188.5,266.5
249168,249449,2019-12-27 20:47:32,23.8,83.6,187.10001,265.79999
249169,249450,2019-12-27 20:47:36,23.8,83.6,187.2,266.89999
249170,249451,2019-12-27 20:47:40,23.9,83.7,186.39999,262.0
249172,249453,2019-12-27 20:47:49,23.8,83.6,186.7,266.60001
249173,249454,2019-12-27 20:47:53,23.9,83.7,187.0,267.89999
249174,249455,2019-12-27 20:47:57,23.9,83.7,187.0,270.0
249175,249456,2019-12-27 20:48:01,23.9,83.7,184.60001,266.60001
249176,249457,2019-12-27 20:48:05,23.9,83.8,185.3,266.39999
249177,249458,2019-12-27 20:48:09,23.9,83.7,183.0,264.29999
249184,249465,2019-12-27 20:48:38,23.9,83.6,186.10001,260.5
249185,249466,2019-12-27 20:48:43,23.9,83.5,187.60001,263.89999
249186,249467,2019-12-27 20:48:47,23.9,83.6,187.89999,262.39999
249187,249468,2019-12-27 20:48:51,23.9,83.6,186.7,260.29999
249188,249469,2019-12-27 20:48:55,23.9,83.6,186.60001,257.0
249190,249471,2019-12-27 20:49:04,23.9,83.6,185.7,257.89999
249191,249472,2019-12-27 20:49:08,23.9,83.5,187.39999,260.5
249192,249473,2019-12-27 20:49:12,23.9,83.5,186.3,258.20001
249200,249481,2019-12-27 20:49:45,23.9,83.5,183.8,264.39999
249201,249482,2019-12-27 20:49:50,23.9,83.5,184.10001,264.39999
249204,249485,2019-12-27 20:50:02,23.9,83.5,183.60001,265.70001
249223,249504,2019-12-27 20:51:21,23.9,83.3,185.60001,263.29999
249227,249508,2019-12-27 20:51:38,23.9,83.1,182.7,255.39999
249230,249511,2019-12-27 20:51:51,23.9,83.3,183.39999,254.10001
249256,249537,2019-12-27 20:53:39,23.8,83.7,179.89999,256.0
249264,249545,2019-12-27 20:54:13,23.8,83.7,182.7,262.10001
249265,249546,2019-12-27 20:54:17,23.8,83.7,183.7,265.10001
249267,249548,2019-12-27 20:54:25,23.7,83.6,184.39999,266.60001
249269,249550,2019-12-27 20:54:33,23.7,83.7,185.7,268.20001
249270,249551,2019-12-27 20:54:38,23.7,83.7,186.2,266.39999
249271,249552,2019-12-27 20:54:42,23.6,83.6,186.0,262.29999
249292,249573,2019-12-27 20:56:09,23.7,84.0,179.8,249.2
249302,249583,2019-12-27 20:56:51,23.6,83.9,183.89999,262.5
249319,249600,2019-12-27 20:58:05,23.5,84.3,183.0,262.20001
249324,249605,2019-12-27 20:58:25,23.5,84.3,182.60001,265.10001
249326,249607,2019-12-27 20:58:34,23.5,84.4,180.8,261.70001
249327,249608,2019-12-27 20:58:38,23.5,84.5,181.3,263.79999
249334,249615,2019-12-27 20:59:07,23.5,84.5,181.3,247.89999
249335,249616,2019-12-27 20:59:11,23.5,84.5,181.0,248.5
249347,249628,2019-12-27 21:00:01,23.5,84.7,182.39999,259.29999
249364,249645,2019-12-27 21:01:12,23.4,84.6,182.0,263.0
249369,249650,2019-12-27 21:01:33,23.5,84.7,176.8,258.60001
249370,249651,2019-12-27 21:01:37,23.4,84.6,177.0,257.20001
249373,249654,2019-12-27 21:01:49,23.4,84.6,179.2,259.20001
249377,249658,2019-12-27 21:02:06,23.4,84.6,179.60001,256.10001
249414,249695,2019-12-27 21:04:40,23.3,84.7,179.3,257.5
249431,249712,2019-12-27 21:05:51,23.3,85.1,180.10001,261.39999
249438,249719,2019-12-27 21:06:20,23.3,85.1,179.3,259.89999
249439,249720,2019-12-27 21:06:24,23.3,85.1,179.60001,263.20001
249440,249721,2019-12-27 21:06:28,23.2,84.9,179.0,260.5
249441,249722,2019-12-27 21:06:32,23.3,85.1,178.5,261.20001
249442,249723,2019-12-27 21:06:36,23.2,85.0,176.7,258.79999
249443,249724,2019-12-27 21:06:40,23.3,84.9,177.0,257.29999
249446,249727,2019-12-27 21:06:53,23.3,85.1,179.5,261.10001
249448,249729,2019-12-27 21:07:01,23.3,85.1,180.7,260.79999
249477,249758,2019-12-27 21:09:02,23.2,85.0,175.89999,254.7
249478,249759,2019-12-27 21:09:06,23.2,85.1,174.89999,253.60001
249479,249760,2019-12-27 21:09:10,23.2,85.1,174.0,253.39999
249480,249761,2019-12-27 21:09:14,23.3,85.1,173.3,253.10001
249481,249762,2019-12-27 21:09:18,23.2,85.1,174.0,254.60001
249482,249763,2019-12-27 21:09:23,23.3,85.1,173.8,255.39999
249483,249764,2019-12-27 21:09:27,23.2,85.0,173.60001,252.60001
249501,249782,2019-12-27 21:10:42,23.3,85.1,176.2,250.3
249503,249784,2019-12-27 21:10:50,23.3,85.1,175.3,251.10001
249507,249788,2019-12-27 21:11:07,23.3,85.0,176.10001,259.20001
249510,249791,2019-12-27 21:11:19,23.3,84.7,178.8,261.39999
249513,249794,2019-12-27 21:11:32,23.3,85.0,178.7,260.5
249527,249808,2019-12-27 21:12:30,23.2,85.0,175.5,254.60001
249528,249809,2019-12-27 21:12:34,23.2,85.0,176.3,258.29999
249529,249810,2019-12-27 21:12:38,23.3,85.1,175.39999,257.60001
249530,249811,2019-12-27 21:12:43,23.2,85.0,175.89999,259.60001
249531,249812,2019-12-27 21:12:47,23.3,85.1,177.2,261.60001
249532,249813,2019-12-27 21:12:51,23.3,85.1,175.5,260.20001
249533,249814,2019-12-27 21:12:55,23.3,85.1,175.39999,257.5
249534,249815,2019-12-27 21:13:02,23.3,85.1,174.8,254.60001
249535,249816,2019-12-27 21:13:06,23.2,84.9,174.8,251.0
249536,249817,2019-12-27 21:13:10,23.2,85.1,176.39999,251.7
249545,249826,2019-12-27 21:13:48,23.2,85.0,176.7,252.39999
249550,249831,2019-12-27 21:14:08,23.3,85.1,172.0,250.3
249551,249832,2019-12-27 21:14:13,23.3,85.1,173.7,250.8
249553,249834,2019-12-27 21:14:21,23.2,85.0,176.0,256.60001
249558,249839,2019-12-27 21:14:42,23.3,84.9,178.7,251.10001
249560,249841,2019-12-27 21:14:50,23.2,84.7,177.2,245.0
249562,249843,2019-12-27 21:14:58,23.2,84.9,178.5,246.2
249563,249844,2019-12-27 21:15:02,23.3,85.0,179.5,247.3
249565,249846,2019-12-27 21:15:11,23.2,84.9,179.39999,251.60001
249566,249847,2019-12-27 21:15:15,23.3,85.0,180.0,251.89999
249567,249848,2019-12-27 21:15:19,23.3,85.0,179.5,252.2
249570,249851,2019-12-27 21:15:32,23.3,85.0,175.39999,247.60001
249584,249865,2019-12-27 21:16:30,23.3,84.9,176.39999,257.60001
249585,249866,2019-12-27 21:16:34,23.3,84.9,176.8,256.20001
249588,249869,2019-12-27 21:16:47,23.3,84.9,174.8,249.8
249600,249881,2019-12-27 21:17:37,23.3,84.7,172.0,243.8
249602,249883,2019-12-27 21:17:45,23.3,84.7,174.3,246.60001
249611,249892,2019-12-27 21:18:23,23.2,84.9,174.60001,253.8
249612,249893,2019-12-27 21:18:27,23.2,84.9,174.0,250.10001
249621,249902,2019-12-27 21:19:04,23.2,84.8,171.89999,251.5
249663,249944,2019-12-27 21:21:59,23.1,85.1,174.3,247.5
249667,249948,2019-12-27 21:22:16,23.2,85.2,174.3,246.89999
249669,249950,2019-12-27 21:22:24,23.2,85.2,173.39999,241.8
249670,249951,2019-12-27 21:22:28,23.2,85.2,172.0,241.5
249672,249953,2019-12-27 21:22:37,23.2,85.2,170.60001,239.39999
249687,249968,2019-12-27 21:23:40,23.2,85.1,173.2,252.5
249693,249974,2019-12-27 21:24:05,23.2,85.2,170.7,239.89999
249694,249975,2019-12-27 21:24:09,23.1,85.1,169.60001,236.7
249728,250009,2019-12-27 21:26:30,23.1,85.4,172.60001,243.10001
249780,250061,2019-12-27 21:30:08,22.9,85.8,166.2,232.8
249825,250106,2019-12-27 21:33:15,23.0,85.6,168.2,246.10001
249857,250138,2019-12-27 21:35:29,23.0,85.6,165.3,244.89999
249858,250139,2019-12-27 21:35:33,23.0,85.5,164.7,246.0
249859,250140,2019-12-27 21:35:37,23.0,85.6,164.5,244.5
249883,250164,2019-12-27 21:37:17,23.0,85.6,166.0,243.10001
249928,250209,2019-12-27 21:40:24,22.9,86.2,169.0,237.39999
249929,250210,2019-12-27 21:40:28,22.7,86.1,168.2,235.60001
249947,250228,2019-12-27 21:41:44,22.8,86.4,168.89999,249.5
249948,250229,2019-12-27 21:41:48,22.8,86.4,168.60001,249.89999
249951,250232,2019-12-27 21:42:00,22.8,86.5,171.39999,251.39999
249952,250233,2019-12-27 21:42:04,22.8,86.4,171.3,252.60001
249953,250234,2019-12-27 21:42:09,22.8,86.4,171.8,254.0
249959,250240,2019-12-27 21:42:34,22.8,86.5,169.2,236.5
249962,250243,2019-12-27 21:42:46,22.8,86.5,172.8,241.10001
249996,250277,2019-12-27 21:45:08,22.9,86.4,169.0,235.39999
249997,250278,2019-12-27 21:45:12,22.8,86.3,168.7,236.39999
250072,250353,2019-12-27 21:50:25,22.8,86.3,174.7,245.0
250083,250364,2019-12-27 21:51:10,22.9,85.9,171.39999,238.5
250084,250365,2019-12-27 21:51:15,22.9,86.1,172.2,240.3
250085,250366,2019-12-27 21:51:19,22.9,86.1,172.2,241.2
250090,250371,2019-12-27 21:51:40,22.8,86.0,172.60001,254.10001
250091,250372,2019-12-27 21:51:44,22.8,86.0,172.10001,253.60001
250092,250373,2019-12-27 21:51:48,22.8,85.9,171.3,256.5
250093,250374,2019-12-27 21:51:52,22.8,86.1,172.60001,257.79999
250094,250375,2019-12-27 21:51:56,22.8,86.1,172.2,255.0
250097,250378,2019-12-27 21:52:09,22.8,86.1,172.5,251.3
250098,250379,2019-12-27 21:52:13,22.8,86.1,170.8,251.10001
250133,250414,2019-12-27 21:54:41,22.8,85.9,173.5,251.10001
250151,250432,2019-12-27 21:55:56,22.9,86.0,167.7,233.7
250152,250433,2019-12-27 21:56:03,22.9,86.0,167.7,235.5
250159,250440,2019-12-27 21:56:33,22.9,85.9,166.10001,244.39999
250160,250441,2019-12-27 21:56:37,23.0,85.9,165.8,244.8
250161,250442,2019-12-27 21:56:41,22.9,85.9,166.10001,246.39999
250162,250443,2019-12-27 21:56:46,22.9,85.9,165.60001,245.39999
250163,250444,2019-12-27 21:56:50,22.9,85.8,167.2,247.5
250165,250446,2019-12-27 21:56:58,22.9,85.7,167.39999,246.0
250168,250449,2019-12-27 21:57:11,22.9,85.7,166.8,240.2
250188,250469,2019-12-27 21:58:34,22.9,85.7,165.2,244.89999
250226,250507,2019-12-27 22:01:12,22.8,85.7,164.60001,233.5
250228,250509,2019-12-27 22:01:21,22.8,85.7,164.0,231.8
250254,250535,2019-12-27 22:03:10,22.8,86.1,164.3,232.2
250255,250536,2019-12-27 22:03:14,22.8,86.1,163.10001,229.0
250257,250538,2019-12-27 22:03:22,22.8,86.0,163.5,228.60001
250260,250541,2019-12-27 22:03:35,22.8,86.1,164.89999,231.89999
250290,250571,2019-12-27 22:05:40,22.9,85.7,161.89999,227.60001
250360,250641,2019-12-27 22:10:31,22.9,85.6,165.5,244.3
250386,250667,2019-12-27 22:12:20,22.9,85.5,167.8,244.2
250390,250671,2019-12-27 22:12:36,23.0,85.5,167.2,246.39999
250392,250673,2019-12-27 22:12:45,23.0,85.4,166.10001,243.60001
250396,250677,2019-12-27 22:13:01,23.0,85.5,162.39999,243.0
250397,250678,2019-12-27 22:13:05,22.9,85.4,161.89999,243.3
250398,250679,2019-12-27 22:13:10,23.0,85.5,162.2,244.60001
250403,250684,2019-12-27 22:13:30,23.0,85.5,164.10001,242.2
250411,250692,2019-12-27 22:14:04,23.0,85.5,167.10001,235.89999
250413,250694,2019-12-27 22:14:12,23.0,85.4,165.89999,233.0
250414,250695,2019-12-27 22:14:16,23.0,85.4,164.2,229.0
250415,250696,2019-12-27 22:14:20,23.0,85.4,163.5,229.2
250416,250697,2019-12-27 22:14:24,23.0,85.3,164.0,229.7
250417,250698,2019-12-27 22:14:29,23.0,85.4,162.2,228.0
250436,250717,2019-12-27 22:15:48,23.0,85.5,164.10001,233.3
250443,250724,2019-12-27 22:16:17,22.9,85.6,163.3,240.89999
250453,250734,2019-12-27 22:16:58,22.9,85.7,163.2,230.3
250478,250759,2019-12-27 22:18:44,22.8,85.9,160.60001,237.3
250479,250760,2019-12-27 22:18:48,22.8,85.9,159.89999,236.0
250480,250761,2019-12-27 22:18:52,22.8,85.7,159.7,232.89999
