created_at,temp,hum,p25,p10
NaT,28.1,53.3,58.9,73.1
NaT,28.3,53.9,60.8,77.1
NaT,28.3,53.7,59.7,74.6
NaT,28.3,53.6,60.7,76.7
NaT,27.8,56.2,71.5,112.4
NaT,27.9,62.9,92.9,121
NaT,27.9,62.8,93.8,120.2
NaT,27.9,62.6,91.8,120.6
NaT,27.3,64.3,116.1,148
NaT,27.2,64.9,113.3,152.10001
NaT,27.8,64.5,113.9,139.89999
NaT,27.6,66.9,103.2,121
NaT,27.9,67.3,141.60001,772
NaT,27.9,67.5,157.7,979.79999
NaT,27.9,67.4,151.5,856.59998
NaT,27.9,67.3,146.60001,822
NaT,27.9,67.4,160.10001,892
NaT,27.9,67.5,150.2,869.29999
NaT,28,67.7,97.7,159
NaT,28,67.2,95.7,150.60001
NaT,28,67.2,95.3,148.5
NaT,28,66.5,94.8,134
NaT,27.6,63.4,93.8,113
NaT,28,63.2,82.9,102
NaT,28.3,64.2,71.8,83.2
NaT,28.1,64,70.5,83.2
NaT,28.3,69.4,53.1,62.8
NaT,28.3,69.5,53.8,64.7
NaT,28.1,69.5,51.5,59.2
NaT,28.3,69.9,50.5,58.9
NaT,28.3,69.5,53.1,59.9
NaT,28.3,70.5,56.7,70.3
NaT,28.5,70.9,61.6,77.6
NaT,28.4,69.5,69.8,91.8
NaT,28.4,69.2,72,97.2
NaT,28.4,68.7,73,89.6
NaT,28.4,68.5,74.4,99.4
NaT,28.4,68.4,70.9,86.9
NaT,28.4,68.2,70.7,86.8
NaT,28.4,68.2,71.6,84.8
NaT,28.4,67.2,76.2,96.8
NaT,28.2,66.8,73.8,84.5
NaT,28.3,66.9,78.1,98.2
NaT,28.2,66.8,76.2,87.8
NaT,28.4,67,75.1,88.8
NaT,28.4,67,73,86.5
NaT,28.4,67,74.5,86.1
NaT,28.4,67.1,72.3,84
NaT,28.4,67,73.2,83.9
NaT,28.4,66.9,73.7,85.8
NaT,28.4,66.8,72.6,85.2
NaT,28.1,66.2,72.8,84.2
NaT,28.1,66.1,69.9,80.3
NaT,28.4,68.4,72,97.7
NaT,28.6,68.1,71.4,81.3
NaT,28.4,68,71.7,89.4
NaT,28.2,67.8,69.4,80.5
NaT,28.2,67.9,64.7,72.5
NaT,28.2,68,60,67.4
NaT,28.4,68.2,61,71.3
